年份,私营工业企业港澳台资本金,煤炭采选业私营工业企业港澳台资本金,石油和天然气开采业私营工业企业港澳台资本金,黑色金属矿采选业私营工业企业港澳台资本金,有色金属矿采选业私营工业企业港澳台资本金,非金属矿采选业私营工业企业港澳台资本金,其他矿采选业私营工业企业港澳台资本金,木材及竹材采运业私营工业企业港澳台资本金,食品加工业私营工业企业港澳台资本金,食品制造业私营工业企业港澳台资本金,饮料制造业私营工业企业港澳台资本金,烟草加工业私营工业企业港澳台资本金,纺织业私营工业企业港澳台资本金,服装及其他纤维制品制造业私营工业企业港澳台资本金,皮革、毛皮、羽绒及其制品业私营工业企业港澳台资本金,木材加工及竹、藤、棕、草制品业私营工业企业港澳台资本金,家具制造业私营工业企业港澳台资本金,造纸及纸制品业私营工业企业港澳台资本金,印刷业、记录媒介的复制私营工业企业港澳台资本金,文教体育用品制造业私营工业企业港澳台资本金,石油加工及炼焦业私营工业企业港澳台资本金,化学原料及化学制品制造业私营工业企业港澳台资本金,医药制造业私营工业企业港澳台资本金,化学纤维制造业私营工业企业港澳台资本金,橡胶制品业私营工业企业港澳台资本金,塑料制品业私营工业企业港澳台资本金,非金属矿物制造业私营工业企业港澳台资本金,黑色金属冶炼及压延加工业私营工业企业港澳台资本金,有色金属冶炼及压延加工业私营工业企业港澳台资本金,金属制品业私营工业企业港澳台资本金,普通机械制造业私营工业企业港澳台资本金,专用设备制造业私营工业企业港澳台资本金,交通运输设备制造业私营工业企业港澳台资本金,电气机械及器材制造业私营工业企业港澳台资本金,电子及通信设备制造业私营工业企业港澳台资本金,仪器仪表及文化办公用机械制造业私营工业企业港澳台资本金,其它制造业私营工业企业港澳台资本金,电力、蒸汽、热水的生产和供应业私营工业企业港澳台资本金,煤气生产和供应业私营工业企业港澳台资本金,自来水的生产和供应业私营工业企业港澳台资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,26.57475,0.0213,,,0.06,,,,0.2504,0.6891,0.0302,,5.7434,2.19813,0.55936,0.18206,0.18965,0.8377,0.08812,1.91805,0.05,1.11304,1.1907,0.4473,0.15803,0.99771,1.99879,0.41415,0.25719,1.26511,0.44096,0.15792,0.75234,1.86231,1.99983,0.11591,0.58599,,,
2001,17.02518,0.00799,,,,0.0351,,,0.24706,0.1825,0.1728,,3.65858,2.6855,0.73039,0.63703,0.25469,0.77215,0.06936,0.06754,,0.92034,0.07457,0.036,0.10999,0.97431,1.01801,0.10158,0.34065,1.41824,0.30057,0.31295,0.34587,0.70566,0.50236,0.13316,0.21023,,,
2000,16.2627,,,,,0.0667,,,0.17016,0.18602,,,1.91781,2.33499,0.68572,0.25679,0.34269,0.07928,0.00558,0.11882,,0.51133,0.14165,,0.27572,2.51264,1.83601,0.0084,0.27485,1.05453,0.49185,0.6602,0.3331,0.70396,1.2539,0.005,0.035,,,
