年份,私营工业企业单位数,煤炭采选业私营工业企业单位数,石油和天然气开采业私营工业企业单位数,黑色金属矿采选业私营工业企业单位数,有色金属矿采选业私营工业企业单位数,非金属矿采选业私营工业企业单位数,其他矿采选业私营工业企业单位数,木材及竹材采运业私营工业企业单位数,食品加工业私营工业企业单位数,食品制造业私营工业企业单位数,饮料制造业私营工业企业单位数,烟草加工业私营工业企业单位数,纺织业私营工业企业单位数,服装及其他纤维制品制造业私营工业企业单位数,皮革、毛皮、羽绒及其制品业私营工业企业单位数,木材加工及竹、藤、棕、草制品业私营工业企业单位数,家具制造业私营工业企业单位数,造纸及纸制品业私营工业企业单位数,印刷业、记录媒介的复制私营工业企业单位数,文教体育用品制造业私营工业企业单位数,石油加工及炼焦业私营工业企业单位数,化学原料及化学制品制造业私营工业企业单位数,医药制造业私营工业企业单位数,化学纤维制造业私营工业企业单位数,橡胶制品业私营工业企业单位数,塑料制品业私营工业企业单位数,非金属矿物制造业私营工业企业单位数,黑色金属冶炼及压延加工业私营工业企业单位数,有色金属冶炼及压延加工业私营工业企业单位数,金属制品业私营工业企业单位数,普通机械制造业私营工业企业单位数,专用设备制造业私营工业企业单位数,交通运输设备制造业私营工业企业单位数,电气机械及器材制造业私营工业企业单位数,电子及通信设备制造业私营工业企业单位数,仪器仪表及文化办公用机械制造业私营工业企业单位数,其它制造业私营工业企业单位数,电力、蒸汽、热水的生产和供应业私营工业企业单位数,煤气生产和供应业私营工业企业单位数,自来水的生产和供应业私营工业企业单位数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,49176.0,347.0,,233.0,219.0,367.0,5.0,,3029.0,1093.0,740.0,2.0,4830.0,3000.0,1214.0,1298.0,657.0,1660.0,650.0,631.0,348.0,3201.0,636.0,250.0,505.0,2377.0,4202.0,1243.0,969.0,3482.0,3269.0,1556.0,1759.0,2641.0,901.0,387.0,1357.0,87.0,15.0,16.0
2001,36218.0,212.0,1.0,153.0,181.0,270.0,5.0,2.0,2278.0,815.0,595.0,3.0,3409.0,2128.0,939.0,1016.0,498.0,1253.0,430.0,452.0,234.0,2394.0,445.0,205.0,401.0,1682.0,3171.0,950.0,769.0,2548.0,2381.0,1119.0,1341.0,1897.0,635.0,289.0,1036.0,52.0,16.0,12.0
2000,22128.0,111.0,1.0,93.0,142.0,197.0,2.0,,1466.0,550.0,403.0,1.0,1865.0,1260.0,549.0,623.0,356.0,718.0,249.0,251.0,173.0,1410.0,279.0,99.0,261.0,971.0,2145.0,620.0,530.0,1537.0,1438.0,753.0,852.0,1066.0,373.0,148.0,598.0,28.0,6.0,4.0
