年份,高技术产业专利申请数(大中型工业企业口径),医药制造业高技术产业专利申请数(大中型工业企业口径),化学药品制造高技术产业专利申请数(大中型工业企业口径),中成药制造高技术产业专利申请数(大中型工业企业口径),生物、生化制品的制造高技术产业专利申请数(大中型工业企业口径),航空航天器制造业高技术产业专利申请数(大中型工业企业口径),电子及通信设备制造业高技术产业专利申请数(大中型工业企业口径),通信设备制造业高技术产业专利申请数(大中型工业企业口径),雷达及配套设备制造业高技术产业专利申请数(大中型工业企业口径),广播电视设备制造业高技术产业专利申请数(大中型工业企业口径),电子器件制造业高技术产业专利申请数(大中型工业企业口径),电子元件制造业高技术产业专利申请数(大中型工业企业口径),家用视听设备制造业高技术产业专利申请数(大中型工业企业口径),其他电子设备制造高技术产业专利申请数(大中型工业企业口径),电子计算机及办公设备制造业高技术产业专利申请数(大中型工业企业口径),电子计算机整机制造业高技术产业专利申请数(大中型工业企业口径),电子计算机外部设备制造业高技术产业专利申请数(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业专利申请数(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业专利申请数(大中型工业企业口径),仪器仪表制造业高技术产业专利申请数(大中型工业企业口径)
2019,199660,,,,,,,,,,,,,,,,,,,
2018,179600,,,,,,,,,,,,,,,,,,,
2017,158354,,,,,,,,,,,,,,,,,,,
2016,131680,,,,,,,,,,,,,,,,,,,
2015,114562,,,,,,,,,,,,,,,,,,,
2014,120077,,,,,,,,,,,,,,,,,,,
2013,102532,,,,,,,,,,,,,,,,,,,
2012,97200,,,,,,,,,,,,,,,,,,,
2011,77725,,,,,,,,,,,,,,,,,,,
2010,59683,5767.0,2792.0,2098.0,382.0,2172.0,35575.0,16886.0,288.0,1459.0,6887.0,4879.0,4212.0,964.0,10810.0,5644.0,3963.0,5359.0,1217.0,4142.0
2009,51513,4785.0,2340.0,1827.0,321.0,1504.0,32485.0,18913.0,123.0,540.0,5165.0,3278.0,3594.0,872.0,7922.0,3500.0,4278.0,4817.0,1009.0,3808.0
2008,39656,3917.0,1587.0,1751.0,254.0,1036.0,25909.0,16159.0,70.0,600.0,3273.0,2057.0,3189.0,561.0,4540.0,1171.0,2674.0,4254.0,1326.0,2928.0
2007,34446,3056.0,1367.0,1340.0,264.0,810.0,24680.0,16342.0,98.0,589.0,2257.0,1436.0,3614.0,344.0,3266.0,999.0,1580.0,2634.0,995.0,1639.0
2006,24301,2383.0,1047.0,1133.0,124.0,510.0,16708.0,11069.0,42.0,212.0,1531.0,930.0,2843.0,81.0,3221.0,1228.0,1950.0,1479.0,503.0,976.0
2005,16823,2708.0,1133.0,1288.0,242.0,328.0,11022.0,6602.0,9.0,101.0,812.0,947.0,2434.0,117.0,1863.0,1020.0,796.0,902.0,401.0,501.0
2004,11026,1696.0,230.0,560.0,69.0,155.0,6986.0,3363.0,17.0,44.0,1065.0,533.0,1931.0,33.0,1334.0,657.0,498.0,855.0,68.0,787.0
2003,8270,1305.0,143.0,347.0,82.0,282.0,4890.0,2621.0,29.0,13.0,688.0,240.0,1200.0,99.0,1243.0,813.0,363.0,550.0,98.0,452.0
2002,,1000.0,251.0,241.0,60.0,176.0,2956.0,1880.0,6.0,1.0,272.0,123.0,611.0,63.0,955.0,794.0,119.0,506.0,61.0,445.0
2001,,735.0,112.0,102.0,18.0,99.0,1679.0,969.0,42.0,1.0,125.0,99.0,402.0,41.0,566.0,308.0,246.0,308.0,52.0,256.0
2000,2245,,,,,,,,,,,,,,,,,,,
