年份,规模以上工业企业单位数,煤炭采选业规模以上工业企业单位数,石油和天然气开采业规模以上工业企业单位数,黑色金属矿采选业规模以上工业企业单位数,有色金属矿采选业规模以上工业企业单位数,非金属矿采选业规模以上工业企业单位数,其他矿采选业规模以上工业企业单位数,木材及竹材采运业规模以上工业企业单位数,食品加工业规模以上工业企业单位数,食品制造业规模以上工业企业单位数,饮料制造业规模以上工业企业单位数,烟草加工业规模以上工业企业单位数,纺织业规模以上工业企业单位数,服装及其他纤维制品制造业规模以上工业企业单位数,皮革、毛皮、羽绒及其制品业规模以上工业企业单位数,木材加工及竹、藤、棕、草制品业规模以上工业企业单位数,家具制造业规模以上工业企业单位数,造纸及纸制品业规模以上工业企业单位数,印刷业、记录媒介的复制规模以上工业企业单位数,文教体育用品制造业规模以上工业企业单位数,石油加工及炼焦业规模以上工业企业单位数,化学原料及化学制品制造业规模以上工业企业单位数,医药制造业规模以上工业企业单位数,化学纤维制造业规模以上工业企业单位数,橡胶制品业规模以上工业企业单位数,塑料制品业规模以上工业企业单位数,非金属矿物制造业规模以上工业企业单位数,黑色金属冶炼及压延加工业规模以上工业企业单位数,有色金属冶炼及压延加工业规模以上工业企业单位数,金属制品业规模以上工业企业单位数,普通机械制造业规模以上工业企业单位数,专用设备制造业规模以上工业企业单位数,交通运输设备制造业规模以上工业企业单位数,电气机械及器材制造业规模以上工业企业单位数,电子及通信设备制造业规模以上工业企业单位数,仪器仪表及文化办公用机械制造业规模以上工业企业单位数,其它制造业规模以上工业企业单位数,电力、蒸汽、热水的生产和供应业规模以上工业企业单位数,煤气生产和供应业规模以上工业企业单位数,自来水的生产和供应业规模以上工业企业单位数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,182000.0,2812.0,84.0,696.0,1291.0,1711.0,17.0,383.0,10413.0,4615.0,3287.0,287.0,13248.0,9061.0,3932.0,3033.0,1767.0,5285.0,3806.0,2327.0,1144.0,12637.0,3681.0,909.0,1822.0,7665.0,15305.0,3333.0,2942.0,10039.0,10767.0,6546.0,7470.0,9385.0,5320.0,2146.0,4582.0,4946.0,329.0,2420.0
2001,171000.0,2603.0,90.0,646.0,1310.0,1749.0,20.0,431.0,10381.0,4563.0,3307.0,320.0,12065.0,8037.0,3539.0,2808.0,1625.0,5027.0,3691.0,2024.0,1027.0,12031.0,3488.0,885.0,1777.0,6884.0,14707.0,3176.0,2823.0,9274.0,10027.0,6391.0,7114.0,8675.0,4824.0,2018.0,4185.0,4873.0,320.0,2398.0
2000,162885.0,2666.0,82.0,598.0,1439.0,1770.0,20.0,498.0,10676.0,4691.0,3409.0,343.0,10968.0,7064.0,3164.0,2552.0,1498.0,4672.0,3703.0,1879.0,993.0,11430.0,3301.0,834.0,1783.0,6230.0,14540.0,2997.0,2538.0,8376.0,9338.0,6406.0,6850.0,7845.0,4459.0,1860.0,3753.0,4825.0,300.0,2408.0
